1	+	3630	5899	6	3630,3995,4485,4705,5173,5438,	3913,4276,4605,5095,5326,5899,	ANAC001_AT1G01010.1(ensembl)
1	-	5927	8737	10	5927,6436,7156,7383,7563,7761,7941,8235,8416,8570,	6263,7069,7232,7450,7649,7835,7987,8325,8464,8737,	ARV1_AT1G01020.1(ensembl)
1	-	6789	8737	8	6789,7156,7563,7761,7941,8235,8416,8570,	7069,7450,7649,7835,7987,8325,8464,8737,	ARV1_AT1G01020.2(ensembl)
1	-	11648	13714	2	11648,13334,	13173,13714,	NGA3_AT1G01030.1(ensembl)
1	+	23145	31227	20	23145,24541,24751,25040,25523,25824,26080,26291,26542,26861,27098,27371,27617,27802,28707,28889,29159,30146,30409,30901,	24451,24655,24962,25435,25743,25997,26203,26452,26776,27012,27281,27533,27713,28431,28805,29080,30065,30311,30816,31227,	DCL1_AT1G01040.1(ensembl)
1	+	23415	31120	20	23415,24541,24751,25040,25523,25824,26080,26291,26542,26861,27098,27371,27617,27802,28707,28889,29159,30146,30409,30901,	24451,24655,24962,25435,25743,25997,26203,26452,26776,27012,27281,27536,27713,28431,28805,29080,30065,30311,30816,31120,	DCL1_AT1G01040.2(ensembl)
1	+	28499	28706	1	28499,	28706,	MIR838A_AT1G01046.1(ensembl)
1	-	31169	33153	9	31169,31520,31692,31932,32087,32281,32430,32546,33028,	31424,31602,31813,31998,32195,32347,32459,32670,33153,	AtPPa1_AT1G01050.1(ensembl)
1	-	33378	37757	10	33378,33980,34400,35566,35729,36623,36809,37022,37372,37568,	33589,34327,35474,35647,35963,36685,36921,37203,37398,37757,	LHY_AT1G01060.3(ensembl)
1	-	33665	37780	8	33665,34400,35566,35729,36623,36809,37022,37372,	34327,35474,35647,35963,36685,36921,37203,37780,	LHY_AT1G01060.2(ensembl)
